Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
zombieZombiIon,entityclasses,Entity,No,No,ZombiIon,c/Hub original roaming horror entity,,,,,,,,,,,,,
zombieCHubDormant,entityclasses,Entity,No,No,Dormant,c/Hub horror infected,,,,,,,,,,,,,
zombieCHubScreecher,entityclasses,Entity,No,No,Screecher,c/Hub horde caller,,,,,,,,,,,,,
zombieCHubToxic,entityclasses,Entity,No,No,Toxic Mutant,c/Hub contaminated infected,,,,,,,,,,,,,
zombieCHubElectric,entityclasses,Entity,No,No,Ion Mutant,c/Hub electrical infected,,,,,,,,,,,,,
zombieCHubStalker,entityclasses,Entity,No,No,Night Stalker,c/Hub stealth infected,,,,,,,,,,,,,
zombieCHubVolatile,entityclasses,Entity,No,No,Volatile,c/Hub unstable infected,,,,,,,,,,,,,
chubRadiationDetector,items,Item,No,No,c/Hub Radiation Detector,Detects dangerous ionizing zones.,,,,,,,,,,,,,
chubAnomalyScanner,items,Item,No,No,c/Hub Anomaly Scanner,Advanced scanner for unstable zones.,,,,,,,,,,,,,
chubEnergyCell,items,Item,No,No,Energy Cell,High-density experimental power cell.,,,,,,,,,,,,,
chubNaniteSerum,items,Item,No,No,Nanite Serum,Experimental recovery and combat serum.,,,,,,,,,,,,,
chubRadShieldDose,items,Item,No,No,Rad-Shield Dose,Temporary protection from radiation and chemicals.,,,,,,,,,,,,,
chubContaminatedWater,items,Item,No,No,Contaminated Water,Unsafe water carrying toxic residue.,,,,,,,,,,,,,
chubEmergencyRation,items,Item,No,No,Emergency Ration,Sealed high-density survival ration.,,,,,,,,,,,,,
chubRitualFragment,items,Item,No,No,Anomalous Fragment,A fragment vibrating outside normal frequency.,,,,,,,,,,,,,
buffCHubFatigueName,buffs,Buff,No,No,Fatigue,,,,,,,,,,,,,,
buffCHubFatigueDesc,buffs,Buff,No,No,Exhaustion reduces maximum stamina and recovery.,,,,,,,,,,,,,,
buffCHubMalnutritionName,buffs,Buff,No,No,Malnutrition,,,,,,,,,,,,,,
buffCHubMalnutritionDesc,buffs,Buff,No,No,Poor nutrition weakens stamina and damage.,,,,,,,,,,,,,,
buffCHubDehydrationName,buffs,Buff,No,No,Severe Dehydration,,,,,,,,,,,,,,
buffCHubDehydrationDesc,buffs,Buff,No,No,Movement and stamina recovery are impaired.,,,,,,,,,,,,,,
buffCHubRadiationName,buffs,Buff,No,No,Radiation Exposure,,,,,,,,,,,,,,
buffCHubRadiationDesc,buffs,Buff,No,No,Ionizing exposure damages health and hydration.,,,,,,,,,,,,,,
buffCHubToxicCloudName,buffs,Buff,No,No,Toxic Cloud,,,,,,,,,,,,,,
buffCHubToxicCloudDesc,buffs,Buff,No,No,Corrosive particles damage lungs and slow movement.,,,,,,,,,,,,,,
buffCHubEmpDisruptionName,buffs,Buff,No,No,EMP Disruption,,,,,,,,,,,,,,
buffCHubEmpDisruptionDesc,buffs,Buff,No,No,Electrical interference disrupts movement and handling.,,,,,,,,,,,,,,
buffCHubTemporalDistortionName,buffs,Buff,No,No,Temporal Distortion,,,,,,,,,,,,,,
buffCHubTemporalDistortionDesc,buffs,Buff,No,No,Local time displacement slows physical actions.,,,,,,,,,,,,,,
buffCHubNanoBoostName,buffs,Buff,No,No,Nanite Boost,,,,,,,,,,,,,,
buffCHubNanoBoostDesc,buffs,Buff,No,No,Nanites restore tissue and temporarily improve performance.,,,,,,,,,,,,,,
buffCHubRadiationShieldName,buffs,Buff,No,No,Radiation Shield,,,,,,,,,,,,,,
buffCHubRadiationShieldDesc,buffs,Buff,No,No,Temporary protection against radiation and chemicals.,,,,,,,,,,,,,,
